Date,Source,Headline,Description,Text
2026-07-28T05:49:02Z,Biztoc.com,"As SpaceX Stock Eyes Its Fourth Straight Weekly Dive, Musk Makes This Pledge","SpaceX stock continued to retreat Monday, with shares unraveled roughly 50% from their post-IPO highs. Elon Musk's rocket and space infrastructure company is on track for its fourth straight weekly decline despite completing a nearly perfect Starship test fli…","As SpaceX Stock Eyes Its Fourth Straight Weekly Dive, Musk Makes This Pledge. SpaceX stock continued to retreat Monday, with shares unraveled roughly 50% from their post-IPO highs. Elon Musk's rocket and space infrastructure company is on track for its fourth straight weekly decline despite completing a nearly perfect Starship test fli…"
2026-07-28T05:47:01Z,Wheresyoured.at,The OpenAI Bubble,"Thanks for reading this week’s free Where’s Your Ed At newsletter. As I said last week, I’m taking the rest of this week off, so there won’t be a premium on Friday. That said, if you aren’t already a member, now’s a great time to subscribe. 

To celebrate the…","The OpenAI Bubble. Thanks for reading this week’s free Where’s Your Ed At newsletter. As I said last week, I’m taking the rest of this week off, so there won’t be a premium on Friday. That said, if you aren’t already a member, now’s a great time to subscribe. 

To celebrate the…"
2026-07-28T05:47:01Z,Substack.com,(25) More On An Internal OpenAI Model Hacking Into HuggingFace,"We now have more details of what happened. Every time we learn more details, it somehow makes things seem worse.","(25) More On An Internal OpenAI Model Hacking Into HuggingFace. We now have more details of what happened. Every time we learn more details, it somehow makes things seem worse."
2026-07-28T05:46:47Z,Ozbargain.com.au,"Jamo S7-17B 2-Way Bookshelf Speakers $499 (Was $1399) C&C Only from Silverwater, NSW","Massive $900 off RRP ($1,399 down to $499). Strictly Click & Collect only from Silverwater, NSW warehouse, stock is limited. Key Specs: Drivers: 1"" (25.4mm) Tweeter with Faraday ring + …","Jamo S7-17B 2-Way Bookshelf Speakers $499 (Was $1399) C&C Only from Silverwater, NSW. Massive $900 off RRP ($1,399 down to $499). Strictly Click & Collect only from Silverwater, NSW warehouse, stock is limited. Key Specs: Drivers: 1"" (25.4mm) Tweeter with Faraday ring + …"
2026-07-28T05:44:08Z,The Straits Times,Australia’s sudden housing chill seeps into economy,Australia’s housing market is suffering its worst slowdown since the pandemic. Read more at straitstimes.com. Read more at straitstimes.com.,Australia’s sudden housing chill seeps into economy. Australia’s housing market is suffering its worst slowdown since the pandemic. Read more at straitstimes.com. Read more at straitstimes.com.
2026-07-28T05:34:15Z,Biztoc.com,Prediction: SpaceX Stock Will Fall After Aug. 4,"Space Exploration Technologies (NASDAQ: SPCX) has been volatile since it pulled off the largest IPO in history last month. The stock reached a high of about $225 -- well above its IPO price of $135 -- but has now declined slightly below $112, as of writing. H…","Prediction: SpaceX Stock Will Fall After Aug. 4. Space Exploration Technologies (NASDAQ: SPCX) has been volatile since it pulled off the largest IPO in history last month. The stock reached a high of about $225 -- well above its IPO price of $135 -- but has now declined slightly below $112, as of writing. H…"
2026-07-28T05:34:13Z,C-sharpcorner.com,"Observability in .NET Aspire: OpenTelemetry, Metrics, Logs, and Distributed Tracing","Master .NET Aspire observability with OpenTelemetry, logs, metrics, and distributed tracing for robust distributed systems.","Observability in .NET Aspire: OpenTelemetry, Metrics, Logs, and Distributed Tracing. Master .NET Aspire observability with OpenTelemetry, logs, metrics, and distributed tracing for robust distributed systems."
2026-07-28T05:34:06Z,Biztoc.com,"S. Korea's Kospi extends losses, plunges 10%","Major stock markets in Asia traded mostly lower during the afternoon session on Tuesday, with South Korea's benchmark index Kospi dropping over 10%, driven by a selloff in semiconductor stocks, mirror...","S. Korea's Kospi extends losses, plunges 10%. Major stock markets in Asia traded mostly lower during the afternoon session on Tuesday, with South Korea's benchmark index Kospi dropping over 10%, driven by a selloff in semiconductor stocks, mirror..."
2026-07-28T05:33:54Z,Abcnews.com,Stocks drift on Wall Street and crude oil prices drop as Mideast tensions cool,Stocks drifted to a mixed close on Wall Street and oil prices fell after the U.S. and Iran paused their attacks while work resumed on restarting negotiations to end their war,Stocks drift on Wall Street and crude oil prices drop as Mideast tensions cool. Stocks drifted to a mixed close on Wall Street and oil prices fell after the U.S. and Iran paused their attacks while work resumed on restarting negotiations to end their war
2026-07-28T05:33:32Z,The Times of India,Godfrey Phillips shares fall 6% as Q1 net profit declines over 44% amid tax-led price increase,"Godfrey Phillips reported a 44.3% year-on-year decline in June-quarter net profit as higher excise duty weighed on earnings, even as gross revenue and total income more than doubled. The cigarette maker said domestic cigarette volumes remained resilient despi…","Godfrey Phillips shares fall 6% as Q1 net profit declines over 44% amid tax-led price increase. Godfrey Phillips reported a 44.3% year-on-year decline in June-quarter net profit as higher excise duty weighed on earnings, even as gross revenue and total income more than doubled. The cigarette maker said domestic cigarette volumes remained resilient despi…"
2026-07-28T05:32:28Z,Slashdot.org,AI stock sell-off deepens as investors dump chipmakers - Financial Times,AI stock sell-off deepens as investors dump chipmakersFinancial Times SK Hynix shares plunge 13% in Seoul as chip sell-off deepensCNBC South Korea’s Kospi index sinks more than 10% on heavy selling of chipmaking stocksYahoo Finance Asian chip stocks slide as …,AI stock sell-off deepens as investors dump chipmakers - Financial Times. AI stock sell-off deepens as investors dump chipmakersFinancial Times SK Hynix shares plunge 13% in Seoul as chip sell-off deepensCNBC South Korea’s Kospi index sinks more than 10% on heavy selling of chipmaking stocksYahoo Finance Asian chip stocks slide as …
2026-07-28T05:29:59Z,The Times of India,Global Market: Japan’s Nikkei plunges over 4% as chip stocks track global tech selloff,"Japan's Nikkei index tumbled over 4% on Tuesday to a two-month low, led by a deep selloff in semiconductor and AI-related stocks following losses on Wall Street. Major chipmakers including Kioxia, Tokyo Electron, and Advantest saw sharp declines as cautious i…","Global Market: Japan’s Nikkei plunges over 4% as chip stocks track global tech selloff. Japan's Nikkei index tumbled over 4% on Tuesday to a two-month low, led by a deep selloff in semiconductor and AI-related stocks following losses on Wall Street. Major chipmakers including Kioxia, Tokyo Electron, and Advantest saw sharp declines as cautious i…"
2026-07-28T05:28:08Z,Dailymail.com,"Bec Judd launches scathing, foul-mouthed attack on new Victorian premier and says he's responsible for the 'downfall of the state': 'Same s**t, different face'","Bec Judd has launched a blistering attack on Victoria's newly elected premier Ben Carroll, accusing him of being complicit in what she described as the state's 'downfall'.","Bec Judd launches scathing, foul-mouthed attack on new Victorian premier and says he's responsible for the 'downfall of the state': 'Same s**t, different face'. Bec Judd has launched a blistering attack on Victoria's newly elected premier Ben Carroll, accusing him of being complicit in what she described as the state's 'downfall'."
2026-07-28T05:28:00Z,Business Insider,Chip stocks are getting hammered — but China's hottest new listing is holding up,South Korean and Japanese semiconductor heavyweights lead a broad retreat as investors pulled back from big winners in the AI boom.,Chip stocks are getting hammered — but China's hottest new listing is holding up. South Korean and Japanese semiconductor heavyweights lead a broad retreat as investors pulled back from big winners in the AI boom.
2026-07-28T05:26:29Z,C-sharpcorner.com,"Building AI Agent Platforms with .NET Aspire, Semantic Kernel, and MCP","Build production-ready AI agent platforms with .NET Aspire, Semantic Kernel, and MCP for orchestration, AI, and tool access.","Building AI Agent Platforms with .NET Aspire, Semantic Kernel, and MCP. Build production-ready AI agent platforms with .NET Aspire, Semantic Kernel, and MCP for orchestration, AI, and tool access."
2026-07-28T05:23:56Z,BusinessLine,"Fix anti-cancer medicine prices urgently: House panel rejects Govt reply, demands capping trade margins","In its Action Taken Report tabled in Parliament on Monday, the Standing Committee on Chemicals and Fertilizers also made it clear that it was not satisfied with most of the government’s response to its earlier recommendations","Fix anti-cancer medicine prices urgently: House panel rejects Govt reply, demands capping trade margins. In its Action Taken Report tabled in Parliament on Monday, the Standing Committee on Chemicals and Fertilizers also made it clear that it was not satisfied with most of the government’s response to its earlier recommendations"
2026-07-28T05:19:00Z,GlobeNewswire,Virtualware Returns to Profit as First-Half Revenue Grows 65%,"Subscription and services growth across VIROO and Simumatik lifts EBITDA to €375,323, from a negative €61,785 a year earlier  Bilbao, July 28, 2026.-...","Virtualware Returns to Profit as First-Half Revenue Grows 65%. Subscription and services growth across VIROO and Simumatik lifts EBITDA to €375,323, from a negative €61,785 a year earlier  Bilbao, July 28, 2026.-..."
2026-07-28T05:16:23Z,The Times of India,US Stock Market: Fed’s inflation fight puts Kevin Warsh’s credibility to the test,The US Federal Reserve faces a tough policy decision as Chair Kevin Warsh weighs a potential rate hike to strengthen its inflation-fighting stance against the need to support an uncertain economy. While higher rates could help bring inflation back toward the …,US Stock Market: Fed’s inflation fight puts Kevin Warsh’s credibility to the test. The US Federal Reserve faces a tough policy decision as Chair Kevin Warsh weighs a potential rate hike to strengthen its inflation-fighting stance against the need to support an uncertain economy. While higher rates could help bring inflation back toward the …
2026-07-28T05:12:46Z,The Times of India,'If he gets his length right': McGrath backs one pacer as Bumrah's long-term partner,Glenn McGrath believes Prasidh Krishna possesses the necessary qualities to partner Jasprit Bumrah. He notes Krishna has matured and transformed potential into consistent performances. India is preparing for a demanding white-ball cricket schedule and needs s…,'If he gets his length right': McGrath backs one pacer as Bumrah's long-term partner. Glenn McGrath believes Prasidh Krishna possesses the necessary qualities to partner Jasprit Bumrah. He notes Krishna has matured and transformed potential into consistent performances. India is preparing for a demanding white-ball cricket schedule and needs s…
2026-07-28T05:12:34Z,The Times of India,"RR Kabel shares jump 10% as Q1 PAT surges 129% YoY, Ebitda doubles","RR Kabel reported a strong June-quarter performance, with profit after tax surging 129% year-on-year and Ebitda nearly doubling, driven by robust growth in its Wires & Cables business and improving profitability. The company also achieved operational breakeve…","RR Kabel shares jump 10% as Q1 PAT surges 129% YoY, Ebitda doubles. RR Kabel reported a strong June-quarter performance, with profit after tax surging 129% year-on-year and Ebitda nearly doubling, driven by robust growth in its Wires & Cables business and improving profitability. The company also achieved operational breakeve…"
2026-07-28T05:09:36Z,Dailymail.com,Costco fans are only just realizing what Kirkland Signature's 'National Event' really means,Costco shoppers have been left scratching their heads after the warehouse giant launched its latest Kirkland Signature National Event.,Costco fans are only just realizing what Kirkland Signature's 'National Event' really means. Costco shoppers have been left scratching their heads after the warehouse giant launched its latest Kirkland Signature National Event.
2026-07-28T05:08:08Z,BusinessLine,R R Kabel shares jump 10% to fresh high after strong Q1FY27; CLSA initiates coverage with outperform,R R Kabel shares jumped 10 per cent to hit a fresh high on Tuesday following strong Q1FY27 results.,R R Kabel shares jump 10% to fresh high after strong Q1FY27; CLSA initiates coverage with outperform. R R Kabel shares jumped 10 per cent to hit a fresh high on Tuesday following strong Q1FY27 results.
2026-07-28T05:04:03Z,Biztoc.com,AI stock sell-off deepens as investors dump chipmakers,"Security Verification
For help please visit help.ft.com. We apologise for any inconvenience.
The following information can help our support team to resolve this issue.
- Reason
- Challenge
- Request ID
- a22156eccf4d3524
- Status Code
- 403
For help please vi…","AI stock sell-off deepens as investors dump chipmakers. Security Verification
For help please visit help.ft.com. We apologise for any inconvenience.
The following information can help our support team to resolve this issue.
- Reason
- Challenge
- Request ID
- a22156eccf4d3524
- Status Code
- 403
For help please vi…"
2026-07-28T05:03:04Z,BusinessLine,Coal India shares fall over 3% weighed by weak operating performance,"Coal India shares fell over 3% due to weak performance, though Jefferies maintains a buy rating with a ₹500 target.","Coal India shares fall over 3% weighed by weak operating performance. Coal India shares fell over 3% due to weak performance, though Jefferies maintains a buy rating with a ₹500 target."
2026-07-28T05:01:57Z,The Times of India,"Bhogapuram Airport opening date: How new airport, built in record time, could boost the entire North Andhra region","Prime Minister Narendra Modi will inaugurate the Bhogapuram airport on August 1.  This international airport was built at a cost of nearly Rs 4,727 crore.  It is designed to handle six million passengers annually in its first phase.  The airport features a Co…","Bhogapuram Airport opening date: How new airport, built in record time, could boost the entire North Andhra region. Prime Minister Narendra Modi will inaugurate the Bhogapuram airport on August 1.  This international airport was built at a cost of nearly Rs 4,727 crore.  It is designed to handle six million passengers annually in its first phase.  The airport features a Co…"
2026-07-28T05:01:46Z,The Times of India,'I was beaten from 11 pm to 3 am': How Sharmila Dhankar overcame marriage abuse to script CWG history,Sharmila Dhankar secured India's first para-athletics gold medal at the Commonwealth Games. She achieved a season-best throw of 9.81m in the women's shot put F57 event. Dhankar overcame poverty and domestic abuse to pursue her athletic aspirations. She previo…,'I was beaten from 11 pm to 3 am': How Sharmila Dhankar overcame marriage abuse to script CWG history. Sharmila Dhankar secured India's first para-athletics gold medal at the Commonwealth Games. She achieved a season-best throw of 9.81m in the women's shot put F57 event. Dhankar overcame poverty and domestic abuse to pursue her athletic aspirations. She previo…
2026-07-28T05:00:26Z,Geeky Gadgets,Galaxy Z Fold 8 Hands-On: The Screen Fix We’ve Been Waiting For,"The Samsung Galaxy Z Fold 8 establishes itself as a flagship device in the foldable smartphone market, blending innovative technology, refined aesthetics and long-term software support. Priced at $1,900, this premium device introduces notable advancements in …","Galaxy Z Fold 8 Hands-On: The Screen Fix We’ve Been Waiting For. The Samsung Galaxy Z Fold 8 establishes itself as a flagship device in the foldable smartphone market, blending innovative technology, refined aesthetics and long-term software support. Priced at $1,900, this premium device introduces notable advancements in …"
2026-07-28T05:00:00Z,The Irish Times,Dublin exchange faces Iseq 20 crisis as ICG eyes exit,Is it time for Euronext Dublin to do away with the Iseq 20 and replace it with an Iseq 15 or Iseq 10?,Dublin exchange faces Iseq 20 crisis as ICG eyes exit. Is it time for Euronext Dublin to do away with the Iseq 20 and replace it with an Iseq 15 or Iseq 10?
2026-07-28T05:00:00Z,GlobeNewswire,Q2 2026 Trading Update and Invitation to Earnings Call,"Oslo, 28 July 2026 – DNO ASA, the Norwegian oil and gas operator, will publish its Q2 2026 operating and interim financial results on 13 August at 07:00 (CET). A videoconference call with executive management will follow at 10:00 (CET). Today, the Company pro…","Q2 2026 Trading Update and Invitation to Earnings Call. Oslo, 28 July 2026 – DNO ASA, the Norwegian oil and gas operator, will publish its Q2 2026 operating and interim financial results on 13 August at 07:00 (CET). A videoconference call with executive management will follow at 10:00 (CET). Today, the Company pro…"
2026-07-28T04:55:58Z,The Times of India,"TCS, Infosys, Coforge, other IT stocks rally up to 10% after Nvidia-led chip rout. Is AI trade ending?","Indian IT stocks rallied on Tuesday, with TCS, Infosys, HCL Tech, Wipro, Coforge and Tech Mahindra gaining despite a global sell-off in AI-linked stocks. Investors tracked the sharp decline in Nvidia, Micron, SanDisk, SK Hynix and Samsung shares for clues on …","TCS, Infosys, Coforge, other IT stocks rally up to 10% after Nvidia-led chip rout. Is AI trade ending?. Indian IT stocks rallied on Tuesday, with TCS, Infosys, HCL Tech, Wipro, Coforge and Tech Mahindra gaining despite a global sell-off in AI-linked stocks. Investors tracked the sharp decline in Nvidia, Micron, SanDisk, SK Hynix and Samsung shares for clues on …"
